Mild,Moderate,Strong
a Karen,Arsehole,Cripple
Arse,Bastard,Cunt
Balls,Beaver,Fuck
Bawbag,Bellend,Gash
Bint,Bloodclaat,Invalid
Bitch,Bollocks,Japseye
Bloody,Bumberclat,Mong
Boomer,Clunge,Motherfucker
Bugger,Cock,Punani
Chav,Deaf and dumb,Pussyhole
Choad,Dick,Retard
Cow,Dickhead,Schizo
Crap,Dwarf,Spastic
Cretin,Fanny,Window Licker
Damn,Femi-nazi,
Div,Flid,
Douchebag,Knob,
Effing,Midget,
Feck,Minge,
Gammon,Moron,
Ginger,Prick,
Git,Psycho,
Handicapped,Pussy,
Libtard,Shit,
Looney,Shite,
Mental,Snatch,
Mentally Challenged,Son of a Bitch,
Minger,Tits,
Nat,Twat,
Nutter,Yoon,
Pissed,,
Pissed off,,
Remoaner,,
Snowflake,,
Sod off,,
Special,,
TERF,,
Tone deaf,,
Uppity,,
Wheelchair bound,,
