words	gend_m
abattoir	5.391
abbey	3.303
abbreviate	3.971
abdicate	5.167
abdication	4.571
abdomen	4.6
abdominal	4.242
abduct	5
abducted	4.546
abduction	4.686
aberration	4.32
abide	4.147
ability	4.206
able	3.647
abode	3.567
abortion	2.618
abroad	3.882
abrupt	4.6
absorb	3.793
abstract	3.771
absurd	4.1
absurdly	4
abundance	3.6
abundant	3.882
abuse	5.061
abuser	5.571
abyss	4.424
academic	4.303
accelerate	4.882
accent	3.853
accept	3.273
acceptance	3.171
access	3.941
accident	4.114
accidental	3.939
accordion	4.147
accountant	4.9
accuse	4.167
accused	4.656
ace	4.433
ache	3.903
aches	3.867
achieve	4.032
achieved	4.029
achievement	3.906
acorn	3.714
acquire	4.161
acrobat	3.531
activate	4.156
active	4.156
activity	4.03
actor	5.588
actress	1.303
actual	4.118
actually	3.088
acute	3.618
adage	4.053
adapt	3.824
add	4.114
addict	4.886
addicted	4.969
addition	3.8
address	4
address (postal)	4
address (speak to)	3.824
adequate	4.056
adjective	3.727
adjust	3.882
admiral	5.97
admire	3.088
admired	3.324
adopt	2.786
adorable	2.3
adore	2.69
adult	4.156
adultery	4.324
adults	4.343
advanced	4.031
advantage	4.69
adventure	4.794
adverb	4.03
adverse	4.353
adversity	4.5
advice	3
advise	3.25
advisor	4.171
advisors	4.032
aeroplane	5.114
afar	3.75
affair	4.235
affect	3.618
affection	1.771
affectionate	2.147
afford	4.457
affordable	3.941
afraid	3.353
after	4.059
afterlife	3.879
age	3.914
aged	4.429
agent	4.836
aggression	5.969
aggressive	6.033
agile	3.303
agility	4.086
agony	4.063
agree	3.647
agreement	3.5
aid	3.71
aim	4.265
aim (objective)	4.235
aim (target)	4.743
air	3.621
airplane	5.091
airport	4.407
aisle	3.345
albatross	4.678
album	4.148
alcohol	4.576
alcoholic	5.229
alert	4.308
algebra	4.625
alien	4.857
alimony	4.154
alive	3.455
all	4
allergy	4
alley	4.424
alligator	4.971
allow	3.882
allowed	3.914
allure	2.879
aloft	3.897
alone	3.886
aloof	4.063
aloud	3.941
altar	4.107
alter	3.5
altitude	4.871
amateur	4.286
amaze	3.206
amazing	3.324
ambassador	5.258
amber	2.857
ambition	4.485
ambulance	4.556
ammunition	5.781
amount	4.125
amphibian	4
amplifier	4.552
amplify	4.485
amputate	4.818
amuse	3.853
amusement	3.629
amusing	4.088
analogue	4.382
analyst	4.484
anchor	5.343
ancient	4.303
anecdote	4.088
angel	1.758
anger	4.914
angle	4.3
angry	5.344
anguish	3.857
animal	3.97
animals	3.824
animosity	4.036
ankle	3.621
annoy	4.485
annoyance	4.4
annoying	4.242
answer	3.909
ant	4.206
anteater	4.594
antelope	3.743
anthem	4.455
anthropology	4.375
anticipation	3.257
anus	4.656
anxiety	3.147
anxious	3.056
apathy	3.308
ape	5.618
apex	4.103
apologize	3.333
apology	3.265
appalling	4.177
appear	3.759
appearance	2.938
appeared	3.75
applause	3.914
apple	3.424
Apple (brand)	4.647
apple (fruit)	3.212
appliance	4.4
applied	4.156
apply	4.029
appoint	4.265
appointment	3.625
appreciate	2.938
approval	3.343
approve	3.606
apricot	3.206
apron	2
aptitude	4.455
arch	4.143
archaeology	4.943
archer	5.177
archery	4.6
architect	5.143
archive	4.057
argue	4.206
argument	4.727
arise	3.8
aristocracy	4.061
aristocratic	4.688
arm	4.265
arm (limb)	4.306
arm (weapon)	5.909
armadillo	4.529
armed	5.892
armour	5.941
armoury	5.879
arms	4.912
arms (limbs)	4.257
arms (weapons)	5.912
army	6.328
aroma	2.75
arouse	4
aroused	4.229
array	3.636
arrest	5.364
arrested	5.455
arrive	3.514
arrogant	5.844
arrow	5.086
arrows	4.824
arse	5.235
arsehole	5.824
arson	5.706
art	2.971
artist	3.265
arts	3
ascend	4.029
ascent	4.088
ashamed	4.061
ashes	4.257
aspect	3.735
aspirin	3.677
ass	4.353
ass (donkey)	5.457
ass (insult)	5.455
assassin	5.882
assassinate	5.882
assault	5.364
asshole	5.943
assist	3.441
assistant	3.257
assuring	3
asteroid	5.212
asthma	4.177
astonish	3.758
astonished	3.471
astronaut	5.531
astronomer	5.188
astronomy	4.543
athletic	4.879
athletics	4.939
atmosphere	3.758
atom	4.829
atomic	5
atoms	4.706
atrocious	4.212
atrocity	4.546
attack	5.5
attacker	5.559
attempt	3.886
attendant	3.857
attention	3.412
attic	4.259
attitude	3.576
attract	2.857
attraction	2.667
attractive	2.485
attribute	3.686
auction	4.75
auctioneer	5.226
audience	4.121
auditorium	4.5
